Scientific Colour Map Categorical Palette
lapaz 100 Swatches
 26  12 100	lapaz-1 #1A0C64
 27  16 103	lapaz-4 #1B1067
 28  19 104	lapaz-6 #1C1368
 29  23 107	lapaz-9 #1D176B
 30  25 109	lapaz-11 #1E196D
 31  29 111	lapaz-14 #1F1D6F
 31  31 113	lapaz-16 #1F1F71
 32  35 115	lapaz-19 #202373
 33  38 117	lapaz-22 #212675
 33  40 119	lapaz-24 #212877
 34  43 121	lapaz-27 #222B79
 35  45 123	lapaz-29 #232D7B
 35  49 125	lapaz-32 #23317D
 36  51 127	lapaz-34 #24337F
 37  54 129	lapaz-37 #253681
 37  57 131	lapaz-40 #253983
 38  59 132	lapaz-42 #263B84
 39  62 135	lapaz-45 #273E87
 39  64 136	lapaz-47 #274088
 40  67 138	lapaz-50 #28438A
 41  71 140	lapaz-53 #29478C
 41  73 141	lapaz-55 #29498D
 42  76 143	lapaz-58 #2A4C8F
 43  78 144	lapaz-60 #2B4E90
 44  81 146	lapaz-63 #2C5192
 45  83 147	lapaz-65 #2D5393
 46  86 149	lapaz-68 #2E5695
 47  89 150	lapaz-71 #2F5996
 48  91 151	lapaz-73 #305B97
 49  94 153	lapaz-76 #315E99
 50  95 153	lapaz-78 #325F99
 51  98 155	lapaz-81 #33629B
 52 100 156	lapaz-83 #34649C
 54 103 157	lapaz-86 #36679D
 56 106 158	lapaz-89 #386A9E
 57 108 158	lapaz-91 #396C9E
 59 111 159	lapaz-94 #3B6F9F
 60 112 160	lapaz-96 #3C70A0
 62 115 161	lapaz-99 #3E73A1
 64 117 161	lapaz-101 #4075A1
 66 120 162	lapaz-104 #4278A2
 69 122 162	lapaz-107 #457AA2
 71 124 163	lapaz-109 #477CA3
 74 127 163	lapaz-112 #4A7FA3
 76 128 163	lapaz-114 #4C80A3
 79 131 164	lapaz-117 #4F83A4
 81 133 164	lapaz-119 #5185A4
 84 135 164	lapaz-122 #5487A4
 87 137 164	lapaz-125 #5789A4
 90 139 163	lapaz-127 #5A8BA3
 93 141 163	lapaz-130 #5D8DA3
 96 142 163	lapaz-132 #608EA3
 99 144 162	lapaz-135 #6390A2
103 146 162	lapaz-138 #6792A2
106 148 161	lapaz-140 #6A94A1
110 149 161	lapaz-143 #6E95A1
112 151 160	lapaz-145 #7097A0
116 152 159	lapaz-148 #74989F
119 153 159	lapaz-150 #77999F
123 155 158	lapaz-153 #7B9B9E
127 156 157	lapaz-156 #7F9C9D
130 157 156	lapaz-158 #829D9C
134 158 155	lapaz-161 #869E9B
137 159 154	lapaz-163 #899F9A
141 160 153	lapaz-166 #8DA099
144 161 153	lapaz-168 #90A199
148 162 152	lapaz-171 #94A298
152 164 151	lapaz-174 #98A497
155 164 150	lapaz-176 #9BA496
159 166 150	lapaz-179 #9FA696
162 166 150	lapaz-181 #A2A696
167 168 149	lapaz-184 #A7A895
170 169 149	lapaz-186 #AAA995
174 170 149	lapaz-189 #AEAA95
179 172 150	lapaz-192 #B3AC96
183 173 150	lapaz-194 #B7AD96
188 176 152	lapaz-197 #BCB098
191 177 153	lapaz-199 #BFB199
197 180 155	lapaz-202 #C5B49B
200 182 156	lapaz-204 #C8B69C
206 185 159	lapaz-207 #CEB99F
211 188 163	lapaz-210 #D3BCA3
215 190 166	lapaz-212 #D7BEA6
220 194 170	lapaz-215 #DCC2AA
223 197 173	lapaz-217 #DFC5AD
228 201 178	lapaz-220 #E4C9B2
232 204 183	lapaz-223 #E8CCB7
235 207 187	lapaz-225 #EBCFBB
239 211 192	lapaz-228 #EFD3C0
241 213 196	lapaz-230 #F1D5C4
244 217 201	lapaz-233 #F4D9C9
245 219 205	lapaz-235 #F5DBCD
247 223 211	lapaz-238 #F7DFD3
249 226 216	lapaz-241 #F9E2D8
250 229 220	lapaz-243 #FAE5DC
251 232 225	lapaz-246 #FBE8E1
252 234 229	lapaz-248 #FCEAE5
253 237 234	lapaz-251 #FDEDEA
254 239 237	lapaz-253 #FEEFED
254 242 243	lapaz-256 #FEF2F3
