Scientific Colour Map Categorical Palette
lapaz 25 Swatches
 26  12 100	lapaz-1 #1A0C64
 30  26 109	lapaz-12 #1E1A6D
 33  38 117	lapaz-22 #212675
 36  50 126	lapaz-33 #24327E
 38  61 134	lapaz-44 #263D86
 41  72 140	lapaz-54 #29488C
 45  83 147	lapaz-65 #2D5393
 48  93 152	lapaz-75 #305D98
 54 103 157	lapaz-86 #36679D
 61 113 160	lapaz-97 #3D71A0
 69 122 162	lapaz-107 #457AA2
 80 132 164	lapaz-118 #5084A4
 92 140 163	lapaz-129 #5C8CA3
104 147 162	lapaz-139 #6893A2
119 153 159	lapaz-150 #77999F
133 158 156	lapaz-160 #859E9C
148 162 152	lapaz-171 #94A298
164 167 149	lapaz-182 #A4A795
179 172 150	lapaz-192 #B3AC96
199 181 156	lapaz-203 #C7B59C
218 193 168	lapaz-214 #DAC1A8
234 206 185	lapaz-224 #EACEB9
245 219 205	lapaz-235 #F5DBCD
251 231 223	lapaz-245 #FBE7DF
254 242 243	lapaz-256 #FEF2F3
