Scientific Colour Map Categorical Palette
grayC 25 Swatches
255 255 255	grayC-1 #FFFFFF
243 243 243	grayC-12 #F3F3F3
231 231 231	grayC-22 #E7E7E7
219 219 219	grayC-33 #DBDBDB
207 207 207	grayC-44 #CFCFCF
196 196 196	grayC-54 #C4C4C4
184 184 184	grayC-65 #B8B8B8
174 174 174	grayC-75 #AEAEAE
162 162 162	grayC-86 #A2A2A2
151 151 151	grayC-97 #979797
140 140 140	grayC-107 #8C8C8C
129 129 129	grayC-118 #818181
118 118 118	grayC-129 #767676
109 109 109	grayC-139 #6D6D6D
 98  98  98	grayC-150 #626262
 89  89  89	grayC-160 #595959
 78  78  78	grayC-171 #4E4E4E
 68  68  68	grayC-182 #444444
 60  60  60	grayC-192 #3C3C3C
 50  50  50	grayC-203 #323232
 41  41  41	grayC-214 #292929
 33  33  33	grayC-224 #212121
 24  24  24	grayC-235 #181818
 15  15  15	grayC-245 #0F0F0F
  0   0   0	grayC-256 #000000
