Scientific Colour Map Categorical Palette
grayC 100 Swatches
255 255 255	grayC-1 #FFFFFF
252 252 252	grayC-4 #FCFCFC
249 249 249	grayC-6 #F9F9F9
246 246 246	grayC-9 #F6F6F6
244 244 244	grayC-11 #F4F4F4
240 240 240	grayC-14 #F0F0F0
238 238 238	grayC-16 #EEEEEE
235 235 235	grayC-19 #EBEBEB
231 231 231	grayC-22 #E7E7E7
229 229 229	grayC-24 #E5E5E5
226 226 226	grayC-27 #E2E2E2
224 224 224	grayC-29 #E0E0E0
220 220 220	grayC-32 #DCDCDC
218 218 218	grayC-34 #DADADA
215 215 215	grayC-37 #D7D7D7
211 211 211	grayC-40 #D3D3D3
209 209 209	grayC-42 #D1D1D1
206 206 206	grayC-45 #CECECE
204 204 204	grayC-47 #CCCCCC
201 201 201	grayC-50 #C9C9C9
197 197 197	grayC-53 #C5C5C5
195 195 195	grayC-55 #C3C3C3
192 192 192	grayC-58 #C0C0C0
190 190 190	grayC-60 #BEBEBE
186 186 186	grayC-63 #BABABA
184 184 184	grayC-65 #B8B8B8
181 181 181	grayC-68 #B5B5B5
178 178 178	grayC-71 #B2B2B2
176 176 176	grayC-73 #B0B0B0
173 173 173	grayC-76 #ADADAD
171 171 171	grayC-78 #ABABAB
167 167 167	grayC-81 #A7A7A7
165 165 165	grayC-83 #A5A5A5
162 162 162	grayC-86 #A2A2A2
159 159 159	grayC-89 #9F9F9F
157 157 157	grayC-91 #9D9D9D
154 154 154	grayC-94 #9A9A9A
152 152 152	grayC-96 #989898
149 149 149	grayC-99 #959595
147 147 147	grayC-101 #939393
144 144 144	grayC-104 #909090
140 140 140	grayC-107 #8C8C8C
138 138 138	grayC-109 #8A8A8A
135 135 135	grayC-112 #878787
133 133 133	grayC-114 #858585
130 130 130	grayC-117 #828282
128 128 128	grayC-119 #808080
125 125 125	grayC-122 #7D7D7D
122 122 122	grayC-125 #7A7A7A
120 120 120	grayC-127 #787878
117 117 117	grayC-130 #757575
115 115 115	grayC-132 #737373
113 113 113	grayC-135 #717171
110 110 110	grayC-138 #6E6E6E
108 108 108	grayC-140 #6C6C6C
105 105 105	grayC-143 #696969
103 103 103	grayC-145 #676767
100 100 100	grayC-148 #646464
 98  98  98	grayC-150 #626262
 95  95  95	grayC-153 #5F5F5F
 92  92  92	grayC-156 #5C5C5C
 90  90  90	grayC-158 #5A5A5A
 88  88  88	grayC-161 #585858
 86  86  86	grayC-163 #565656
 83  83  83	grayC-166 #535353
 81  81  81	grayC-168 #515151
 78  78  78	grayC-171 #4E4E4E
 76  76  76	grayC-174 #4C4C4C
 74  74  74	grayC-176 #4A4A4A
 71  71  71	grayC-179 #474747
 69  69  69	grayC-181 #454545
 67  67  67	grayC-184 #434343
 65  65  65	grayC-186 #414141
 62  62  62	grayC-189 #3E3E3E
 60  60  60	grayC-192 #3C3C3C
 58  58  58	grayC-194 #3A3A3A
 55  55  55	grayC-197 #373737
 53  53  53	grayC-199 #353535
 51  51  51	grayC-202 #333333
 49  49  49	grayC-204 #313131
 47  47  47	grayC-207 #2F2F2F
 44  44  44	grayC-210 #2C2C2C
 42  42  42	grayC-212 #2A2A2A
 40  40  40	grayC-215 #282828
 38  38  38	grayC-217 #262626
 36  36  36	grayC-220 #242424
 33  33  33	grayC-223 #212121
 32  32  32	grayC-225 #202020
 29  29  29	grayC-228 #1D1D1D
 28  28  28	grayC-230 #1C1C1C
 26  26  26	grayC-233 #1A1A1A
 24  24  24	grayC-235 #181818
 22  22  22	grayC-238 #161616
 19  19  19	grayC-241 #131313
 17  17  17	grayC-243 #111111
 14  14  14	grayC-246 #0E0E0E
 11  11  11	grayC-248 #0B0B0B
  7   7   7	grayC-251 #070707
  4   4   4	grayC-253 #040404
  0   0   0	grayC-256 #000000
