Scientific Colour Map Categorical Palette
nuuk 25 Swatches
  5  89 140	nuuk-1 #05598C
 23  92 136	nuuk-12 #175C88
 34  96 133	nuuk-22 #226085
 45 100 131	nuuk-33 #2D6483
 57 105 130	nuuk-44 #396982
 69 111 130	nuuk-54 #456F82
 83 119 133	nuuk-65 #537785
 96 126 136	nuuk-75 #607E88
111 135 141	nuuk-86 #6F878D
125 143 145	nuuk-97 #7D8F91
138 151 149	nuuk-107 #8A9795
150 158 151	nuuk-118 #969E97
161 166 152	nuuk-129 #A1A698
169 171 151	nuuk-139 #A9AB97
176 177 148	nuuk-150 #B0B194
181 181 145	nuuk-160 #B5B591
186 185 141	nuuk-171 #BAB98D
190 190 137	nuuk-182 #BEBE89
195 194 133	nuuk-192 #C3C285
201 201 131	nuuk-203 #C9C983
210 209 132	nuuk-214 #D2D184
220 219 138	nuuk-224 #DCDB8A
232 232 149	nuuk-235 #E8E895
243 243 163	nuuk-245 #F3F3A3
254 254 178	nuuk-256 #FEFEB2
