Scientific Colour Map Categorical Palette
nuuk 100 Swatches
  5  89 140	nuuk-1 #05598C
 11  90 139	nuuk-4 #0B5A8B
 14  91 139	nuuk-6 #0E5B8B
 19  92 137	nuuk-9 #135C89
 21  92 137	nuuk-11 #155C89
 25  93 136	nuuk-14 #195D88
 27  94 135	nuuk-16 #1B5E87
 31  95 134	nuuk-19 #1F5F86
 34  96 133	nuuk-22 #226085
 36  96 133	nuuk-24 #246085
 39  97 132	nuuk-27 #276184
 41  98 132	nuuk-29 #296284
 44  99 131	nuuk-32 #2C6383
 46 100 131	nuuk-34 #2E6483
 50 102 130	nuuk-37 #326682
 53 103 130	nuuk-40 #356782
 55 104 130	nuuk-42 #376882
 59 106 130	nuuk-45 #3B6A82
 61 107 130	nuuk-47 #3D6B82
 64 109 130	nuuk-50 #406D82
 68 111 130	nuuk-53 #446F82
 70 112 131	nuuk-55 #467083
 74 114 131	nuuk-58 #4A7283
 77 115 132	nuuk-60 #4D7384
 81 117 132	nuuk-63 #517584
 83 119 133	nuuk-65 #537785
 87 121 134	nuuk-68 #577986
 91 123 135	nuuk-71 #5B7B87
 94 125 136	nuuk-73 #5E7D88
 98 127 137	nuuk-76 #627F89
100 129 138	nuuk-78 #64818A
104 131 139	nuuk-81 #68838B
107 132 140	nuuk-83 #6B848C
111 135 141	nuuk-86 #6F878D
115 137 142	nuuk-89 #73898E
118 139 143	nuuk-91 #768B8F
121 141 144	nuuk-94 #798D90
124 142 145	nuuk-96 #7C8E91
128 145 146	nuuk-99 #809192
130 146 147	nuuk-101 #829293
134 148 148	nuuk-104 #869494
138 151 149	nuuk-107 #8A9795
140 152 149	nuuk-109 #8C9895
144 154 150	nuuk-112 #909A96
146 156 150	nuuk-114 #929C96
149 158 151	nuuk-117 #959E97
151 159 151	nuuk-119 #979F97
154 161 152	nuuk-122 #9AA198
157 163 152	nuuk-125 #9DA398
159 164 152	nuuk-127 #9FA498
162 166 152	nuuk-130 #A2A698
163 167 152	nuuk-132 #A3A798
166 169 151	nuuk-135 #A6A997
168 171 151	nuuk-138 #A8AB97
169 172 151	nuuk-140 #A9AC97
171 173 150	nuuk-143 #ABAD96
173 174 149	nuuk-145 #ADAE95
174 176 149	nuuk-148 #AEB095
176 177 148	nuuk-150 #B0B194
177 178 147	nuuk-153 #B1B293
179 179 146	nuuk-156 #B3B392
180 180 146	nuuk-158 #B4B492
181 181 145	nuuk-161 #B5B591
182 182 144	nuuk-163 #B6B690
183 183 143	nuuk-166 #B7B78F
184 184 142	nuuk-168 #B8B88E
186 185 141	nuuk-171 #BAB98D
187 187 140	nuuk-174 #BBBB8C
188 187 139	nuuk-176 #BCBB8B
189 189 138	nuuk-179 #BDBD8A
190 189 137	nuuk-181 #BEBD89
191 191 136	nuuk-184 #BFBF88
192 192 135	nuuk-186 #C0C087
193 193 134	nuuk-189 #C1C186
195 194 133	nuuk-192 #C3C285
196 195 133	nuuk-194 #C4C385
197 197 132	nuuk-197 #C5C584
199 198 132	nuuk-199 #C7C684
200 200 131	nuuk-202 #C8C883
202 201 131	nuuk-204 #CAC983
204 203 131	nuuk-207 #CCCB83
206 206 131	nuuk-210 #CECE83
208 207 132	nuuk-212 #D0CF84
210 210 133	nuuk-215 #D2D285
212 212 134	nuuk-217 #D4D486
215 215 135	nuuk-220 #D7D787
219 218 137	nuuk-223 #DBDA89
221 221 139	nuuk-225 #DDDD8B
224 224 142	nuuk-228 #E0E08E
227 226 144	nuuk-230 #E3E290
230 230 147	nuuk-233 #E6E693
232 232 149	nuuk-235 #E8E895
236 235 153	nuuk-238 #ECEB99
239 239 157	nuuk-241 #EFEF9D
241 241 160	nuuk-243 #F1F1A0
244 244 164	nuuk-246 #F4F4A4
246 246 167	nuuk-248 #F6F6A7
249 249 171	nuuk-251 #F9F9AB
251 251 174	nuuk-253 #FBFBAE
254 254 178	nuuk-256 #FEFEB2
