Scientific Colour Map Categorical Palette
bilbao 100 Swatches
255 255 255	bilbao-1 #FFFFFF
251 251 251	bilbao-4 #FBFBFB
248 248 248	bilbao-6 #F8F8F8
245 245 244	bilbao-9 #F5F5F4
242 242 242	bilbao-11 #F2F2F2
238 238 238	bilbao-14 #EEEEEE
236 236 235	bilbao-16 #ECECEB
232 232 231	bilbao-19 #E8E8E7
228 228 227	bilbao-22 #E4E4E3
226 225 224	bilbao-24 #E2E1E0
222 222 220	bilbao-27 #DEDEDC
220 219 217	bilbao-29 #DCDBD9
217 216 213	bilbao-32 #D9D8D5
214 213 210	bilbao-34 #D6D5D2
211 210 205	bilbao-37 #D3D2CD
209 207 201	bilbao-40 #D1CFC9
207 205 198	bilbao-42 #CFCDC6
205 202 194	bilbao-45 #CDCAC2
203 200 191	bilbao-47 #CBC8BF
201 198 186	bilbao-50 #C9C6BA
199 196 182	bilbao-53 #C7C4B6
198 194 179	bilbao-55 #C6C2B3
197 192 175	bilbao-58 #C5C0AF
196 191 173	bilbao-60 #C4BFAD
194 189 169	bilbao-63 #C2BDA9
194 188 166	bilbao-65 #C2BCA6
192 186 162	bilbao-68 #C0BAA2
191 184 158	bilbao-71 #BFB89E
190 183 156	bilbao-73 #BEB79C
189 181 152	bilbao-76 #BDB598
189 180 149	bilbao-78 #BDB495
187 178 145	bilbao-81 #BBB291
187 177 143	bilbao-83 #BBB18F
185 175 139	bilbao-86 #B9AF8B
184 172 135	bilbao-89 #B8AC87
183 171 132	bilbao-91 #B7AB84
182 168 128	bilbao-94 #B6A880
181 166 126	bilbao-96 #B5A67E
180 163 122	bilbao-99 #B4A37A
179 161 120	bilbao-101 #B3A178
178 158 117	bilbao-104 #B29E75
177 155 114	bilbao-107 #B19B72
176 153 112	bilbao-109 #B09970
175 150 110	bilbao-112 #AF966E
174 148 109	bilbao-114 #AE946D
173 145 107	bilbao-117 #AD916B
172 144 106	bilbao-119 #AC906A
172 141 104	bilbao-122 #AC8D68
171 138 103	bilbao-125 #AB8A67
170 136 102	bilbao-127 #AA8866
169 134 101	bilbao-130 #A98665
169 132 100	bilbao-132 #A98464
168 129  99	bilbao-135 #A88163
167 126  98	bilbao-138 #A77E62
167 125  97	bilbao-140 #A77D61
166 122  96	bilbao-143 #A67A60
166 120  95	bilbao-145 #A6785F
165 118  94	bilbao-148 #A5765E
164 116  93	bilbao-150 #A4745D
164 113  92	bilbao-153 #A4715C
163 111  91	bilbao-156 #A36F5B
162 109  90	bilbao-158 #A26D5A
162 106  89	bilbao-161 #A26A59
161 104  88	bilbao-163 #A16858
160 102  87	bilbao-166 #A06657
159 100  86	bilbao-168 #9F6456
158  97  85	bilbao-171 #9E6155
157  94  83	bilbao-174 #9D5E53
157  92  82	bilbao-176 #9D5C52
155  89  81	bilbao-179 #9B5951
154  87  79	bilbao-181 #9A574F
153  84  77	bilbao-184 #99544D
151  82  76	bilbao-186 #97524C
150  79  74	bilbao-189 #964F4A
147  75  71	bilbao-192 #934B47
146  73  70	bilbao-194 #924946
143  70  67	bilbao-197 #8F4643
141  67  65	bilbao-199 #8D4341
139  64  62	bilbao-202 #8B403E
137  62  60	bilbao-204 #893E3C
133  58  57	bilbao-207 #853A39
130  55  54	bilbao-210 #823736
128  52  51	bilbao-212 #803433
125  49  48	bilbao-215 #7D3130
123  47  46	bilbao-217 #7B2F2E
119  43  43	bilbao-220 #772B2B
116  40  39	bilbao-223 #742827
114  38  37	bilbao-225 #722625
110  34  34	bilbao-228 #6E2222
108  32  32	bilbao-230 #6C2020
104  29  29	bilbao-233 #681D1D
102  26  27	bilbao-235 #661A1B
 98  23  24	bilbao-238 #621718
 95  19  21	bilbao-241 #5F1315
 92  17  19	bilbao-243 #5C1113
 89  13  16	bilbao-246 #590D10
 86  10  13	bilbao-248 #560A0D
 83   6   9	bilbao-251 #530609
 80   4   6	bilbao-253 #500406
 77   0   1	bilbao-256 #4D0001
