Scientific Colour Map Categorical Palette
imola 25 Swatches
 26  51 179	imola-1 #1A33B3
 30  59 175	imola-12 #1E3BAF
 34  66 171	imola-22 #2242AB
 37  73 168	imola-33 #2549A8
 41  80 164	imola-44 #2950A4
 44  87 161	imola-54 #2C57A1
 48  94 157	imola-65 #305E9D
 52 100 153	imola-75 #346499
 57 107 148	imola-86 #396B94
 63 113 142	imola-97 #3F718E
 69 119 137	imola-107 #457789
 76 126 131	imola-118 #4C7E83
 84 134 127	imola-129 #54867F
 92 143 124	imola-139 #5C8F7C
103 153 121	imola-150 #679979
112 163 119	imola-160 #70A377
123 174 116	imola-171 #7BAE74
134 185 113	imola-182 #86B971
145 195 111	imola-192 #91C36F
157 207 108	imola-203 #9DCF6C
172 219 105	imola-214 #ACDB69
189 230 103	imola-224 #BDE667
211 240 102	imola-235 #D3F066
232 247 102	imola-245 #E8F766
255 255 102	imola-256 #FFFF66
