Scientific Colour Map Categorical Palette
imola 100 Swatches
 26  51 179	imola-1 #1A33B3
 27  53 177	imola-4 #1B35B1
 28  55 177	imola-6 #1C37B1
 29  57 176	imola-9 #1D39B0
 30  58 175	imola-11 #1E3AAF
 31  60 174	imola-14 #1F3CAE
 32  62 173	imola-16 #203EAD
 33  64 172	imola-19 #2140AC
 34  66 171	imola-22 #2242AB
 34  67 171	imola-24 #2243AB
 35  69 170	imola-27 #2345AA
 36  70 169	imola-29 #2446A9
 37  72 168	imola-32 #2548A8
 38  74 167	imola-34 #264AA7
 39  76 166	imola-37 #274CA6
 40  78 165	imola-40 #284EA5
 40  79 165	imola-42 #284FA5
 41  81 164	imola-45 #2951A4
 42  82 163	imola-47 #2A52A3
 43  84 162	imola-50 #2B54A2
 44  86 161	imola-53 #2C56A1
 45  87 160	imola-55 #2D57A0
 46  89 159	imola-58 #2E599F
 46  91 159	imola-60 #2E5B9F
 47  93 158	imola-63 #2F5D9E
 48  94 157	imola-65 #305E9D
 49  96 156	imola-68 #31609C
 50  98 155	imola-71 #32629B
 51  99 154	imola-73 #33639A
 52 101 152	imola-76 #346598
 53 102 152	imola-78 #356698
 55 104 150	imola-81 #376896
 56 105 149	imola-83 #386995
 57 107 148	imola-86 #396B94
 59 108 146	imola-89 #3B6C92
 60 110 145	imola-91 #3C6E91
 61 111 144	imola-94 #3D6F90
 62 112 143	imola-96 #3E708F
 64 114 141	imola-99 #40728D
 65 115 140	imola-101 #41738C
 67 117 138	imola-104 #43758A
 69 119 137	imola-107 #457789
 70 120 136	imola-109 #467888
 72 122 134	imola-112 #487A86
 73 123 133	imola-114 #497B85
 75 125 132	imola-117 #4B7D84
 76 127 131	imola-119 #4C7F83
 78 129 129	imola-122 #4E8181
 81 131 128	imola-125 #518380
 82 133 128	imola-127 #528580
 85 135 127	imola-130 #55877F
 86 137 126	imola-132 #56897E
 89 139 125	imola-135 #598B7D
 92 142 124	imola-138 #5C8E7C
 93 144 124	imola-140 #5D907C
 96 146 123	imola-143 #60927B
 98 148 122	imola-145 #62947A
101 151 122	imola-148 #65977A
103 153 121	imola-150 #679979
105 156 121	imola-153 #699C79
108 159 120	imola-156 #6C9F78
110 161 119	imola-158 #6EA177
113 164 119	imola-161 #71A477
115 166 118	imola-163 #73A676
118 169 117	imola-166 #76A975
120 171 117	imola-168 #78AB75
123 174 116	imola-171 #7BAE74
126 177 115	imola-174 #7EB173
128 179 115	imola-176 #80B373
131 182 114	imola-179 #83B672
133 184 114	imola-181 #85B872
136 187 113	imola-184 #88BB71
138 189 112	imola-186 #8ABD70
141 192 112	imola-189 #8DC070
145 195 111	imola-192 #91C36F
147 198 110	imola-194 #93C66E
150 201 109	imola-197 #96C96D
152 203 109	imola-199 #98CB6D
156 206 108	imola-202 #9CCE6C
158 208 108	imola-204 #9ED06C
162 212 107	imola-207 #A2D46B
166 215 106	imola-210 #A6D76A
169 217 106	imola-212 #A9D96A
173 221 105	imola-215 #ADDD69
176 223 104	imola-217 #B0DF68
181 226 104	imola-220 #B5E268
187 229 103	imola-223 #BBE567
191 231 103	imola-225 #BFE767
196 234 103	imola-228 #C4EA67
200 235 103	imola-230 #C8EB67
207 238 102	imola-233 #CFEE66
211 240 102	imola-235 #D3F066
217 242 102	imola-238 #D9F266
223 244 102	imola-241 #DFF466
228 246 102	imola-243 #E4F666
234 248 102	imola-246 #EAF866
238 249 102	imola-248 #EEF966
245 251 102	imola-251 #F5FB66
249 253 102	imola-253 #F9FD66
255 255 102	imola-256 #FFFF66
